ลำดับ	นโยบาย	solution	
80	สวัสดิการโอนเข้าอัตโนมัติ ไม่ต้องรอ ไม่ต้องลงทะเบียน	ลดภาระการลงทะเบียนของประชาชนในการได้รับสวัสดิการ โดยการให้รัฐจ่ายสวัสดิการให้ประชาชนที่คุณสมบัติครบถ้วนทันทีแบบอัตโนมัติ โดยไม่เป็นภาระของประชาชนต้องลงทะเบียนอีก เช่นเงินเด็กเล็ก: ที่ควรจ่ายให้พ่อ-แม่ทันที เมื่อแจ้งเกิดเงินผู้สูงวัย: ที่ควรจ่ายให้ผู้สูงอายุทันที เมื่ออายุครบ 60 ปีเงินคนพิการ: ที่ควรจ่ายให้คนพิการทันที เมื่อมีใบรับรองแพทย์ค่าทำศพ: ที่ควรจ่ายให้ครอบครัวหรือญาติผู้เสียชีวิตทันที เมื่อแจ้งตายเงินประกันสังคม: ที่ควรจ่ายเงินชดเชยให้ผู้ประกันตนทันที เมื่อเข้าเงื่อนไขวางระบบให้ประชาชนทุกคนมีบัตรประชาชนดิจิทัล (Digital ID) และให้มีการบูรณาการข้อมูลระหว่างหน่วยงาน ประชาชนไม่ต้องกรอกแบบฟอร์มซ้ำๆ ในเมื่อรัฐมีข้อมูลอยู่ในมืออยู่แล้ว	นโยบายที่ 80 สวัสดิการโอนเข้าอัตโนมัติ ไม่ต้องรอ ไม่ต้องลงทะเบียน solution ลดภาระการลงทะเบียนของประชาชนในการได้รับสวัสดิการ โดยการให้รัฐจ่ายสวัสดิการให้ประชาชนที่คุณสมบัติครบถ้วนทันทีแบบอัตโนมัติ โดยไม่เป็นภาระของประชาชนต้องลงทะเบียนอีก เช่นเงินเด็กเล็ก: ที่ควรจ่ายให้พ่อ-แม่ทันที เมื่อแจ้งเกิดเงินผู้สูงวัย: ที่ควรจ่ายให้ผู้สูงอายุทันที เมื่ออายุครบ 60 ปีเงินคนพิการ: ที่ควรจ่ายให้คนพิการทันที เมื่อมีใบรับรองแพทย์ค่าทำศพ: ที่ควรจ่ายให้ครอบครัวหรือญาติผู้เสียชีวิตทันที เมื่อแจ้งตายเงินประกันสังคม: ที่ควรจ่ายเงินชดเชยให้ผู้ประกันตนทันที เมื่อเข้าเงื่อนไขวางระบบให้ประชาชนทุกคนมีบัตรประชาชนดิจิทัล (Digital ID) และให้มีการบูรณาการข้อมูลระหว่างหน่วยงาน ประชาชนไม่ต้องกรอกแบบฟอร์มซ้ำๆ ในเมื่อรัฐมีข้อมูลอยู่ในมืออยู่แล้ว
81	ยกเลิกใบอนุญาต 50% ยกเลิกทุกกฎหมายที่เป็นอุปสรรค	ลด ‘ต้นทุน’ ที่ไม่จำเป็นสำหรับภาคธุรกิจ ด้วยการทบทวนหรือ ‘กิโยติน’ กฎหมายและใบอนุญาตทั้งหมดที่เป็นอุปสรรค (เช่น ขนส่งไข่ต้องขออนุญาต ส่งออกข้าวต้องเป็นนายทุนใหญ่ นำเข้าปุ๋ยต้องรอรัฐตรวจสอบนานเป็นเดือนๆ) ผ่านกระบวนการที่ประชาชนและภาคเอกชนมีส่วนร่วมและบทบาทนำในการเสนอใบอนุญาตที่ควรยกเลิก โดยหน่วยงานรัฐต้องรับภาระในการพิสูจน์ว่ายังจำเป็น - ตั้งเป้าหมายว่า ภายใน 4 ปีต้อง(1) ยกเลิกใบอนุญาต 50%(2) ยกเลิกทุกกฎหมายที่เป็นอุปสรรค	นโยบายที่ 81 ยกเลิกใบอนุญาต 50% ยกเลิกทุกกฎหมายที่เป็นอุปสรรค solution ลด ‘ต้นทุน’ ที่ไม่จำเป็นสำหรับภาคธุรกิจ ด้วยการทบทวนหรือ ‘กิโยติน’ กฎหมายและใบอนุญาตทั้งหมดที่เป็นอุปสรรค (เช่น ขนส่งไข่ต้องขออนุญาต ส่งออกข้าวต้องเป็นนายทุนใหญ่ นำเข้าปุ๋ยต้องรอรัฐตรวจสอบนานเป็นเดือนๆ) ผ่านกระบวนการที่ประชาชนและภาคเอกชนมีส่วนร่วมและบทบาทนำในการเสนอใบอนุญาตที่ควรยกเลิก โดยหน่วยงานรัฐต้องรับภาระในการพิสูจน์ว่ายังจำเป็น - ตั้งเป้าหมายว่า ภายใน 4 ปีต้อง(1) ยกเลิกใบอนุญาต 50%(2) ยกเลิกทุกกฎหมายที่เป็นอุปสรรค
82	รู้ผลใบอนุญาตใน 15 วัน	ออกกฎหมายเพื่อรับประกันกรอบระยะเวลาของกระบวนการพิจารณาใบอนุญาต ไว้ที่ไม่เกิน 15 วัน - หากหน่วยงานของรัฐ พิจารณาใบอนุญาตเสร็จไม่ทันภายใน 15 วัน ให้ถือว่าคำขออนุญาตนั้น มีผลบังคับใช้เหมือนใบอนุญาตทันที (โดยอาจยกเว้นไว้บางใบอนุญาต ‘เท่าที่จำเป็น’ ที่กระบวนการการพิจารณา มีความซับซ้อนหรือความจำเป็นพิเศษที่ต้องดำเนินการด้วยระยะเวลานานกว่านั้น)	นโยบายที่ 82 รู้ผลใบอนุญาตใน 15 วัน solution ออกกฎหมายเพื่อรับประกันกรอบระยะเวลาของกระบวนการพิจารณาใบอนุญาต ไว้ที่ไม่เกิน 15 วัน - หากหน่วยงานของรัฐ พิจารณาใบอนุญาตเสร็จไม่ทันภายใน 15 วัน ให้ถือว่าคำขออนุญาตนั้น มีผลบังคับใช้เหมือนใบอนุญาตทันที (โดยอาจยกเว้นไว้บางใบอนุญาต ‘เท่าที่จำเป็น’ ที่กระบวนการการพิจารณา มีความซับซ้อนหรือความจำเป็นพิเศษที่ต้องดำเนินการด้วยระยะเวลานานกว่านั้น)
83	ยกเครื่องประเมินข้าราชการ ทำงานดี ข้าราชการได้ดี ประชาชนได้ดี	ยกเครื่องระบบประเมินข้าราชการ เพื่อให้ข้าราชการที่ทำงานดี ได้รับการประเมินและความก้าวหน้าทางอาชีพที่ดี ควบคู่กับการสร้างประโยชน์ให้ประชาชน เช่นการทำให้ดัชนี ‘ตัวชี้วัดผลสำเร็จของงาน’ (KPI) ของบรรดากระทรวงและกรมต่าง ๆ มีความยึดโยงกับคุณภาพชีวิตและสิ่งที่ประชาชนจะได้รับโดยตรงมากขึ้นปรับปรุงเกณฑ์การพิจารณาเลื่อนขั้น เลื่อนตำแหน่ง เพื่อให้น้ำหนักกับ ‘ผลสำเร็จ’ ของงาน มากกว่า ‘อายุงาน’	นโยบายที่ 83 ยกเครื่องประเมินข้าราชการ ทำงานดี ข้าราชการได้ดี ประชาชนได้ดี solution ยกเครื่องระบบประเมินข้าราชการ เพื่อให้ข้าราชการที่ทำงานดี ได้รับการประเมินและความก้าวหน้าทางอาชีพที่ดี ควบคู่กับการสร้างประโยชน์ให้ประชาชน เช่นการทำให้ดัชนี ‘ตัวชี้วัดผลสำเร็จของงาน’ (KPI) ของบรรดากระทรวงและกรมต่าง ๆ มีความยึดโยงกับคุณภาพชีวิตและสิ่งที่ประชาชนจะได้รับโดยตรงมากขึ้นปรับปรุงเกณฑ์การพิจารณาเลื่อนขั้น เลื่อนตำแหน่ง เพื่อให้น้ำหนักกับ ‘ผลสำเร็จ’ ของงาน มากกว่า ‘อายุงาน’
84	ปลดล็อกส่วนกลาง ข้าราชการทีมไทยแลนด์ ทลายกำแพงระหว่างกระทรวง-กรม	ทลายกำแพงระหว่างหน่วยงานของรัฐด้วยกันเอง ผ่านการ ‘ควบรวม’ บรรดากระทรวงและกรมต่าง ๆ ให้อยู่ภายใต้นิติบุคคลเดียวกัน เพื่อสร้าง ‘ข้าราชการทีมไทยแลนด์’ ที่สามารถทำงานประสานระหว่างหน่วยงานและแบ่งสรรปันส่วนทรัพยากรระหว่างหน่วยงานได้อย่างไร้รอยต่อ	นโยบายที่ 84 ปลดล็อกส่วนกลาง ข้าราชการทีมไทยแลนด์ ทลายกำแพงระหว่างกระทรวง-กรม solution ทลายกำแพงระหว่างหน่วยงานของรัฐด้วยกันเอง ผ่านการ ‘ควบรวม’ บรรดากระทรวงและกรมต่าง ๆ ให้อยู่ภายใต้นิติบุคคลเดียวกัน เพื่อสร้าง ‘ข้าราชการทีมไทยแลนด์’ ที่สามารถทำงานประสานระหว่างหน่วยงานและแบ่งสรรปันส่วนทรัพยากรระหว่างหน่วยงานได้อย่างไร้รอยต่อ
85	งบประมาณปรับทันใจ จัดทำใหม่จากศูนย์ในทุกๆปี (zero-based budgeting)	ปรับกระบวนการจัดทำงบประมาณในแต่ละปี โดยยึดหลัก zero-based budgeting หรือ ‘งบประมาณแบบฐานศูนย์’ ที่ไม่ได้จัดทำงบโดยอ้างอิงจากการจัดงบในอดีตเป็นหลักแล้วปรับเพิ่มงบเข้าไปในแต่ละปี แต่อ้างอิงจากความเร่งด่วนและขนาดของปัญหาที่ประเทศเผชิญในแต่ละปีเป็นหลัก	นโยบายที่ 85 งบประมาณปรับทันใจ จัดทำใหม่จากศูนย์ในทุกๆปี (zero-based budgeting) solution ปรับกระบวนการจัดทำงบประมาณในแต่ละปี โดยยึดหลัก zero-based budgeting หรือ ‘งบประมาณแบบฐานศูนย์’ ที่ไม่ได้จัดทำงบโดยอ้างอิงจากการจัดงบในอดีตเป็นหลักแล้วปรับเพิ่มงบเข้าไปในแต่ละปี แต่อ้างอิงจากความเร่งด่วนและขนาดของปัญหาที่ประเทศเผชิญในแต่ละปีเป็นหลัก
86	ผบ.ตร. ยึดโยงประชาชน	ให้มี คณะกรรมการตำรวจแห่งชาติ (ก.ตร.) ที่มาจากผู้แทนประชาชนทั้งฝ่ายค้านและรัฐบาล เพื่อป้องกันไม่ให้ฝ่ายบริหารแทรกแซงกระบวนการยุติธรรมหรือใช้ตำรวจเป็นเครื่องมือทางการเมือง เพื่อป้องกันการใช้เส้นสายและตั๋วตำรวจ และให้นายตำรวจระดับสูงทำงานอยู่ในสายตาประชาชนและถูกถอดถอนได้หากยังปล่อยให้มีการวิ่งเต้น	นโยบายที่ 86 ผบ.ตร. ยึดโยงประชาชน solution ให้มี คณะกรรมการตำรวจแห่งชาติ (ก.ตร.) ที่มาจากผู้แทนประชาชนทั้งฝ่ายค้านและรัฐบาล เพื่อป้องกันไม่ให้ฝ่ายบริหารแทรกแซงกระบวนการยุติธรรมหรือใช้ตำรวจเป็นเครื่องมือทางการเมือง เพื่อป้องกันการใช้เส้นสายและตั๋วตำรวจ และให้นายตำรวจระดับสูงทำงานอยู่ในสายตาประชาชนและถูกถอดถอนได้หากยังปล่อยให้มีการวิ่งเต้น
87	จังหวัด-ตำรวจ ร่วมรับใช้ประชาชน	จัดตั้ง \"คณะกรรมการนโยบายความปลอดภัยสาธารณะจังหวัด\" ที่มีทั้งตัวแทน อบจ.-ท้องถิ่นต่าง ๆ ส่วนราชการในจังหวัด และภาคประชาชนเข้าร่วม โดยมีอำนาจหน้าที่ในการมีส่วนร่วมประเมินคุณภาพของนายตำรวจในพื้นที่ เพื่อให้ตำรวจคนใดที่ทำงานมีประสิทธิภาพ ไม่ทิ้งหรือดองคดี ก็จะได้ช่วยส่งเสริมให้เจริญก้าวหน้าต่อไปถ่วงดุลการแต่งตั้งนายตำรวจจากส่วนกลาง โดยมีอำนาจอนุมัติ-ไม่อนุมัติการแต่งตั้งผู้บังคับการจังหวัด เพื่อให้ได้คนที่เหมาะสมจริงๆ มาทำงานในพื้นที่	นโยบายที่ 87 จังหวัด-ตำรวจ ร่วมรับใช้ประชาชน solution จัดตั้ง \"คณะกรรมการนโยบายความปลอดภัยสาธารณะจังหวัด\" ที่มีทั้งตัวแทน อบจ.-ท้องถิ่นต่าง ๆ ส่วนราชการในจังหวัด และภาคประชาชนเข้าร่วม โดยมีอำนาจหน้าที่ในการมีส่วนร่วมประเมินคุณภาพของนายตำรวจในพื้นที่ เพื่อให้ตำรวจคนใดที่ทำงานมีประสิทธิภาพ ไม่ทิ้งหรือดองคดี ก็จะได้ช่วยส่งเสริมให้เจริญก้าวหน้าต่อไปถ่วงดุลการแต่งตั้งนายตำรวจจากส่วนกลาง โดยมีอำนาจอนุมัติ-ไม่อนุมัติการแต่งตั้งผู้บังคับการจังหวัด เพื่อให้ได้คนที่เหมาะสมจริงๆ มาทำงานในพื้นที่
88	ผู้ตรวจการตำรวจ ประชาชนมีช่องร้องเรียนตำรวจ	จัดตั้งคณะกรรมการตรวจสอบเรื่องร้องเรียนตำรวจที่เป็นอิสระแยกจากสำนักงานตำรวจแห่งชาติ  ขึ้นตรงต่อรัฐสภา มีสำนักงานและบุคลากรของตัวเอง เนื่องจากการแยกองค์กรตรวจสอบจะทำให้ปราศจากประโยชน์ทับซ้อนที่ตำรวจผู้ตรวจสอบอาจช่วยเหลือตำรวจผู้กระทำผิดกันเอง	นโยบายที่ 88 ผู้ตรวจการตำรวจ ประชาชนมีช่องร้องเรียนตำรวจ solution จัดตั้งคณะกรรมการตรวจสอบเรื่องร้องเรียนตำรวจที่เป็นอิสระแยกจากสำนักงานตำรวจแห่งชาติ  ขึ้นตรงต่อรัฐสภา มีสำนักงานและบุคลากรของตัวเอง เนื่องจากการแยกองค์กรตรวจสอบจะทำให้ปราศจากประโยชน์ทับซ้อนที่ตำรวจผู้ตรวจสอบอาจช่วยเหลือตำรวจผู้กระทำผิดกันเอง
89	คืนผมให้ตำรวจ ไม่บังคับเกรียน	ยกเลิกการบังคับตัดผมเกรียน เพราะการคืนทรงผมให้ตำรวจ จะเท่ากับการคืนความตระหนักรู้ถึงสิทธิในเนื้อตัวร่างกายของนายตำรวจแต่ละคนอบรมบ่มเพาะสิทธิมนุษยชนและและคุณค่าของการอยู่ร่วมกันในสังคมเพื่อให้นายตำรวจทุกคนปฏิบัติหน้าที่โดยยึดหลักเหล่านั้นไว้จนขึ้นใจปรับเปลี่ยนหลักสูตรการศึกษาและค่านิยมเดิมที่ฝึกสอนข้าราชการตำรวจ โดยเพิ่มความสำคัญที่ให้กับวิชาพลเรือนและการเรียนร่วมกับพลเรือนทั่วไป	นโยบายที่ 89 คืนผมให้ตำรวจ ไม่บังคับเกรียน solution ยกเลิกการบังคับตัดผมเกรียน เพราะการคืนทรงผมให้ตำรวจ จะเท่ากับการคืนความตระหนักรู้ถึงสิทธิในเนื้อตัวร่างกายของนายตำรวจแต่ละคนอบรมบ่มเพาะสิทธิมนุษยชนและและคุณค่าของการอยู่ร่วมกันในสังคมเพื่อให้นายตำรวจทุกคนปฏิบัติหน้าที่โดยยึดหลักเหล่านั้นไว้จนขึ้นใจปรับเปลี่ยนหลักสูตรการศึกษาและค่านิยมเดิมที่ฝึกสอนข้าราชการตำรวจ โดยเพิ่มความสำคัญที่ให้กับวิชาพลเรือนและการเรียนร่วมกับพลเรือนทั่วไป
90	เติบโต-โยกย้ายเป็นธรรม ปราศจากตั๋ว-เส้นสาย	ทำให้องค์กรตำรวจเป็นพื้นที่แห่งโอกาสให้กับนายตำรวจที่มีความสามารถและซื่อสัตย์สุจริตได้เติบโตอย่างเสมอหน้า และมีความก้าวหน้าทางอาชีพผ่านการวัดผลที่ต้องขึ้นอยู่กับผลงาน ปรับที่มาของคณะกรรมการข้าราชการตำรวจ (ก.ตร.) เพื่อทลายระบบตั๋วไม่ให้กำเนิดตั้งแต่ระดับผู้บังคับบัญชาสูงสุด เปิดให้นายตำรวจชั้นประทวนที่จบการศึกษาในระดับปริญญาตรีขึ้นไปได้รับสิทธิในการเลื่อนยศสู่ระดับสัญญาบัตรก่อน แทนที่จะรับจากบุคคลภายนอกเข้ามาเป็นชั้นสัญญาบัตรทันที เมื่อสำนักงานตำรวจแห่งชาติมีความต้องการรับบุคคลมาเป็นตำรวจสัญญาบัตรเพิ่ม	นโยบายที่ 90 เติบโต-โยกย้ายเป็นธรรม ปราศจากตั๋ว-เส้นสาย solution ทำให้องค์กรตำรวจเป็นพื้นที่แห่งโอกาสให้กับนายตำรวจที่มีความสามารถและซื่อสัตย์สุจริตได้เติบโตอย่างเสมอหน้า และมีความก้าวหน้าทางอาชีพผ่านการวัดผลที่ต้องขึ้นอยู่กับผลงาน ปรับที่มาของคณะกรรมการข้าราชการตำรวจ (ก.ตร.) เพื่อทลายระบบตั๋วไม่ให้กำเนิดตั้งแต่ระดับผู้บังคับบัญชาสูงสุด เปิดให้นายตำรวจชั้นประทวนที่จบการศึกษาในระดับปริญญาตรีขึ้นไปได้รับสิทธิในการเลื่อนยศสู่ระดับสัญญาบัตรก่อน แทนที่จะรับจากบุคคลภายนอกเข้ามาเป็นชั้นสัญญาบัตรทันที เมื่อสำนักงานตำรวจแห่งชาติมีความต้องการรับบุคคลมาเป็นตำรวจสัญญาบัตรเพิ่ม
91	ตำรวจหญิงทุกสถานี เติบโตเป็น ผบ.ตร. ได้	เปิดรับให้ทุกเพศสามารถสมัครเข้าเรียนนายร้อยตำรวจได้ผลักดันให้มีตำรวจหญิงประจำทุกสถานี เพื่อให้เหยื่อผู้ถูกคุกคามทางเพศรู้สึกอุ่นใจในการเข้ามาแจ้งความมากขึ้น รวมถึงจัดอบรมให้ตำรวจทุกเพศมีความตระหนักรู้ในการจัดการคดีเกี่ยวกับเพศและเหยื่อในคดีเกี่ยวกับเพศรับประกันว่าตำรวจทุกเพศจะได้รับที่ทางและโอกาสในการเลื่อนขั้นตำแหน่งได้อย่างเท่าเทียมในทุกสายงาน (งานสืบสวนสอบสวน งานกฎหมาย งานอาชญวิทยา งานปราบปราม)	นโยบายที่ 91 ตำรวจหญิงทุกสถานี เติบโตเป็น ผบ.ตร. ได้ solution เปิดรับให้ทุกเพศสามารถสมัครเข้าเรียนนายร้อยตำรวจได้ผลักดันให้มีตำรวจหญิงประจำทุกสถานี เพื่อให้เหยื่อผู้ถูกคุกคามทางเพศรู้สึกอุ่นใจในการเข้ามาแจ้งความมากขึ้น รวมถึงจัดอบรมให้ตำรวจทุกเพศมีความตระหนักรู้ในการจัดการคดีเกี่ยวกับเพศและเหยื่อในคดีเกี่ยวกับเพศรับประกันว่าตำรวจทุกเพศจะได้รับที่ทางและโอกาสในการเลื่อนขั้นตำแหน่งได้อย่างเท่าเทียมในทุกสายงาน (งานสืบสวนสอบสวน งานกฎหมาย งานอาชญวิทยา งานปราบปราม)
92	ลดภาระพนักงานสอบสวน แบ่งงานให้ตำรวจสายอื่น	เพิ่มอำนาจให้ตำรวจสายป้องกันและปราบปรามสามารถยุติคดีเล็กน้อยได้ โดยไม่ต้องส่งต่อให้พนักงานสอบสวน เนื่องจากปัจจุบันตำรวจสายป้องกันและปราบปรามทำได้แค่การลาดตระเวนและตรวจตราทั่วไป โดยไม่สามารถยุติคดีอาญาได้ปรับลดการใช้เอกสารเพื่อประสิทธิภาพของการทำงานของพนักงานสอบสวนใช้เทคโนโลยีเข้ามาช่วยเพื่อให้การทำงานมีความคล่องตัวและง่ายขึ้น	นโยบายที่ 92 ลดภาระพนักงานสอบสวน แบ่งงานให้ตำรวจสายอื่น solution เพิ่มอำนาจให้ตำรวจสายป้องกันและปราบปรามสามารถยุติคดีเล็กน้อยได้ โดยไม่ต้องส่งต่อให้พนักงานสอบสวน เนื่องจากปัจจุบันตำรวจสายป้องกันและปราบปรามทำได้แค่การลาดตระเวนและตรวจตราทั่วไป โดยไม่สามารถยุติคดีอาญาได้ปรับลดการใช้เอกสารเพื่อประสิทธิภาพของการทำงานของพนักงานสอบสวนใช้เทคโนโลยีเข้ามาช่วยเพื่อให้การทำงานมีความคล่องตัวและง่ายขึ้น
93	เรียนฟรี อาหารฟรี มีรถรับส่ง	ป้องกันการตกหล่นทางการศึกษาในอนาคต ผ่านการเพิ่มงบกองทุนเพื่อความเสมอภาคทางการศึกษา (กสศ.) จำนวน 4000 ล้านบาท และเพิ่มกลไกอื่น ๆ ขององค์กรปกครองส่วนท้องถิ่น (อปท.) รวมถึงเร่งดำเนินการให้เยาวชนที่ตกหล่นจากระบบการศึกษา สามารถกลับเข้าสู่ระบบหรือเข้าถึงช่องทางการศึกษาที่เหมาะสมกับตนเองได้เพิ่มงบประมาณรายหัวนักเรียนในส่วนของค่าอาหาร ตั้งแต่ระดับประถมถึงมัธยมปลาย (รวมถึง ปวช.) เฉลี่ยประมาณ 500 บาท/เดือนเพิ่มงบประมาณรายหัวนักเรียนในส่วนของค่าเดินทาง ระดับประถม 200 บาท/เดือน ระดับมัธยม 300 บาท/เดือน รวมถึงเพิ่มมาตรฐานความปลอดภัยของรถโรงเรียน (เช่น ใบอนุญาตเฉพาะ เกณฑ์ด้านการตรวจสภาพรถ เครื่องมือแจ้งเตือนในรถ)	นโยบายที่ 93 เรียนฟรี อาหารฟรี มีรถรับส่ง solution ป้องกันการตกหล่นทางการศึกษาในอนาคต ผ่านการเพิ่มงบกองทุนเพื่อความเสมอภาคทางการศึกษา (กสศ.) จำนวน 4000 ล้านบาท และเพิ่มกลไกอื่น ๆ ขององค์กรปกครองส่วนท้องถิ่น (อปท.) รวมถึงเร่งดำเนินการให้เยาวชนที่ตกหล่นจากระบบการศึกษา สามารถกลับเข้าสู่ระบบหรือเข้าถึงช่องทางการศึกษาที่เหมาะสมกับตนเองได้เพิ่มงบประมาณรายหัวนักเรียนในส่วนของค่าอาหาร ตั้งแต่ระดับประถมถึงมัธยมปลาย (รวมถึง ปวช.) เฉลี่ยประมาณ 500 บาท/เดือนเพิ่มงบประมาณรายหัวนักเรียนในส่วนของค่าเดินทาง ระดับประถม 200 บาท/เดือน ระดับมัธยม 300 บาท/เดือน รวมถึงเพิ่มมาตรฐานความปลอดภัยของรถโรงเรียน (เช่น ใบอนุญาตเฉพาะ เกณฑ์ด้านการตรวจสภาพรถ เครื่องมือแจ้งเตือนในรถ)
94	ทุกโรงเรียนมีงบพอ	ปรับวิธีการจัดสรรงบประมาณของโรงเรียน ทุกโรงเรียนต้องได้งบประมาณเพียงพอที่จะจัดการศึกษาได้อย่างมีคุณภาพ หรือคำนวณตามมาตรฐาน FSQL (Fundamental School Quality Level) ที่พิจารณาหลายปัจจัยตามความจำเป็นของโรงเรียน นอกเหนือจากจำนวนนักเรียน เพื่อให้ทุกโรงเรียนมีทรัพยากรเพียงพอในการจัดการศึกษา และทำให้โรงเรียนขนาดเล็กสามารถมีโครงสร้างพื้นฐานภายในโรงเรียนที่ดี และมีครูที่เพียงพอต่อนักเรียนเพิ่มอำนาจการตัดสินใจของโรงเรียนในเรื่องการใช้งบประมาณ โดยปรับเป็นการจัดงบประมาณจากส่วนกลางให้โรงเรียนแบบไม่กำหนดวัตถุประสงค์ เพื่อให้งบประมาณถูกนำไปใช้อย่างตรงจุดมากขึ้นสำหรับแต่ละโรงเรียน	นโยบายที่ 94 ทุกโรงเรียนมีงบพอ solution ปรับวิธีการจัดสรรงบประมาณของโรงเรียน ทุกโรงเรียนต้องได้งบประมาณเพียงพอที่จะจัดการศึกษาได้อย่างมีคุณภาพ หรือคำนวณตามมาตรฐาน FSQL (Fundamental School Quality Level) ที่พิจารณาหลายปัจจัยตามความจำเป็นของโรงเรียน นอกเหนือจากจำนวนนักเรียน เพื่อให้ทุกโรงเรียนมีทรัพยากรเพียงพอในการจัดการศึกษา และทำให้โรงเรียนขนาดเล็กสามารถมีโครงสร้างพื้นฐานภายในโรงเรียนที่ดี และมีครูที่เพียงพอต่อนักเรียนเพิ่มอำนาจการตัดสินใจของโรงเรียนในเรื่องการใช้งบประมาณ โดยปรับเป็นการจัดงบประมาณจากส่วนกลางให้โรงเรียนแบบไม่กำหนดวัตถุประสงค์ เพื่อให้งบประมาณถูกนำไปใช้อย่างตรงจุดมากขึ้นสำหรับแต่ละโรงเรียน
95	โรงเรียนโปร่งใส ปราศจากทุจริต	เปิดข้อมูลรายรับ-รายจ่าย-จัดซื้อจัดจ้าง ของโรงเรียนทั้งหมดต่อสาธารณะ เพื่อเป็นการเสริมสร้างความโปร่งใสของการบริหารจัดการโรงเรียนที่ตอบสนองประโยชน์สูงสุดของนักเรียนและการศึกษาจัดให้มีโครงการ \"คนโกงวงแตก\" ป้องกันการทุจริตในโรงเรียน (เช่น ค่าแป๊ะเจี๊ยะ หรือการทุจริตหนังสือเรียน) ผ่านการวางกลไกที่จูงใจให้กลุ่มคนที่ร่วมกันโกง ฟ้องกันเอง จนเกิดความระแวงสำหรับใครที่คิดจะร่วมกันโกง (leniency programme)จัดให้มีมาตรการ \"แฉโกง ปลอดภัย\" คุ้มครองคนแจ้งเบาะแส ตลอดจนเปิดโปงเปิดการทุจริตในโรงเรียน ผ่านกลไกที่รับประกันความปลอดภัยและความก้าวหน้าทางอาชีพของผู้กล้าที่ออกมาแฉการทุจริต (whistleblower protection)	นโยบายที่ 95 โรงเรียนโปร่งใส ปราศจากทุจริต solution เปิดข้อมูลรายรับ-รายจ่าย-จัดซื้อจัดจ้าง ของโรงเรียนทั้งหมดต่อสาธารณะ เพื่อเป็นการเสริมสร้างความโปร่งใสของการบริหารจัดการโรงเรียนที่ตอบสนองประโยชน์สูงสุดของนักเรียนและการศึกษาจัดให้มีโครงการ \"คนโกงวงแตก\" ป้องกันการทุจริตในโรงเรียน (เช่น ค่าแป๊ะเจี๊ยะ หรือการทุจริตหนังสือเรียน) ผ่านการวางกลไกที่จูงใจให้กลุ่มคนที่ร่วมกันโกง ฟ้องกันเอง จนเกิดความระแวงสำหรับใครที่คิดจะร่วมกันโกง (leniency programme)จัดให้มีมาตรการ \"แฉโกง ปลอดภัย\" คุ้มครองคนแจ้งเบาะแส ตลอดจนเปิดโปงเปิดการทุจริตในโรงเรียน ผ่านกลไกที่รับประกันความปลอดภัยและความก้าวหน้าทางอาชีพของผู้กล้าที่ออกมาแฉการทุจริต (whistleblower protection)
96	ส้วมสะอาด อาคารสถานที่ปลอดภัย	แก้ปัญหาสภาพแวดล้อมภายในโรงเรียนให้เกิดความปลอดภัย และวางมาตรฐานในทุกโรงเรียนให้ถูกหลักสุขอนามัย (เช่น ห้องน้ำต้องสะอาดและปลอดภัยในทุกโรงเรียน)ปรับปรุงสภาพแวดล้อมภายในโรงเรียนเพื่อลดอุบัติเหตุในโรงเรียน และป้องกันจุดเสี่ยงที่จะเกิดอันตรายต่อตัวนักเรียน (เช่น ตกน้ำ ไฟดูด) เป็นต้น	นโยบายที่ 96 ส้วมสะอาด อาคารสถานที่ปลอดภัย solution แก้ปัญหาสภาพแวดล้อมภายในโรงเรียนให้เกิดความปลอดภัย และวางมาตรฐานในทุกโรงเรียนให้ถูกหลักสุขอนามัย (เช่น ห้องน้ำต้องสะอาดและปลอดภัยในทุกโรงเรียน)ปรับปรุงสภาพแวดล้อมภายในโรงเรียนเพื่อลดอุบัติเหตุในโรงเรียน และป้องกันจุดเสี่ยงที่จะเกิดอันตรายต่อตัวนักเรียน (เช่น ตกน้ำ ไฟดูด) เป็นต้น
